,Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers,-log10(pValue)
5272,R-BTA-196849,Metabolism of water-soluble vitamins and cofactors,3,244,0.023373886387585,0.9999999999812657,0.9999999999812657,3,122,0.0153904377444178,9913,Bos taurus,SLC23A2;FLAD1;ACACA,,R-BTA-2993814;R-BTA-198870;R-BTA-196929,8.136223700879608e-12
5273,R-RNO-69620,Cell Cycle Checkpoints,4,263,0.0253640659658597,0.9999999999821614,0.9999999999821614,15,49,0.0062033168755538,10116,Rattus norvegicus,YWHAE;MCM8;PPP2R1A;CHEK2,,R-RNO-75809;R-RNO-349426;R-RNO-5683792;R-RNO-141409;R-RNO-75016;R-RNO-5683735;R-RNO-141422;R-RNO-5683774;R-RNO-141439;R-RNO-176318;R-RNO-141431;R-RNO-176298;R-RNO-69608;R-RNO-69685;R-RNO-69891,7.747214000864898e-12
5274,R-BTA-112315,Transmission across Chemical Synapses,4,265,0.0253855733307788,0.9999999999826256,0.9999999999826256,11,96,0.01211050838905,9913,Bos taurus,GNB2;GNB3;SLC17A7;GNAI2,,R-BTA-170686;R-BTA-1013013;R-BTA-210444;R-BTA-500717;R-BTA-1013012;R-BTA-170674;R-BTA-1013020;R-BTA-210430;R-BTA-210426;R-BTA-170671;R-BTA-170666,7.545621343978384e-12
5275,R-DRE-422475,Axon guidance,4,260,0.0254752106603958,0.9999999999844332,0.9999999999844332,6,121,0.0164715491423904,7955,Danio rerio,HSP90AB1;ITSN1;KRAS;MAPK13,,R-DRE-3928595;R-DRE-419644;R-DRE-392054;R-DRE-419645;R-DRE-451366;R-DRE-3928601,6.760562353444422e-12
5276,R-XTR-983712,Ion channel transport,1,160,0.0188523624366678,0.9999999999848546,0.9999999999848546,1,41,0.0066916925085686,8364,Xenopus tropicalis,ANO6,,R-XTR-2684901,6.577581216663126e-12
5277,R-CFA-112315,Transmission across Chemical Synapses,4,248,0.0255170285008745,0.9999999999852114,0.9999999999852114,9,88,0.0118774463490349,9615,Canis familiaris,GNB2;GNB3;SLC17A7;GNAI2,,R-CFA-170671;R-CFA-210444;R-CFA-170686;R-CFA-1013012;R-CFA-170674;R-CFA-500717;R-CFA-1013013;R-CFA-1013020;R-CFA-170666,6.422613792785694e-12
5278,R-CFA-9006934,Signaling by Receptor Tyrosine Kinases,16,426,0.0438316699248893,0.9999999999854036,0.9999999999854036,134,524,0.0707247941692536,9615,Canis familiaris,EGR2;STAT1;ROCK2;PRKCE;SRF;PTPRK;ESR1;EGFR;MAPK13;NCSTN;PPP2R1A;GRB10;PTK2B;TRIB3;KRAS;FGFR2,,R-CFA-109699;R-CFA-182993;R-CFA-3928647;R-CFA-1470012;R-CFA-6785636;R-CFA-5654392;R-CFA-9674531;R-CFA-1963581;R-CFA-5228992;R-CFA-6785648;R-CFA-182994;R-CFA-1549564;R-CFA-177930;R-CFA-5654647;R-CFA-1470010;R-CFA-182990;R-CFA-177927;R-CFA-8864125;R-CFA-1963563;R-CFA-1470009;R-CFA-177926;R-CFA-1977959;R-CFA-5654406;R-CFA-177937;R-CFA-1251997;R-CFA-5654407;R-CFA-5654402;R-CFA-177935;R-CFA-183036;R-CFA-5654663;R-CFA-109700;R-CFA-1963586;R-CFA-177936;R-CFA-5654404;R-CFA-74740;R-CFA-1963582;R-CFA-8951490;R-CFA-5654397;R-CFA-1250383;R-CFA-177933;R-CFA-183002;R-CFA-177934;R-CFA-5654399;R-CFA-183089;R-CFA-1433471;R-CFA-9613213;R-CFA-5218830;R-CFA-177944;R-CFA-74707;R-CFA-177945;R-CFA-183084;R-CFA-934559;R-CFA-1433456;R-CFA-8851877;R-CFA-183058;R-CFA-177942;R-CFA-183067;R-CFA-5654677;R-CFA-5654413;R-CFA-183072;R-CFA-177943;R-CFA-9612509;R-CFA-183051;R-CFA-177938;R-CFA-177939;R-CFA-183055;R-CFA-177941;R-CFA-5218826;R-CFA-8851827;R-CFA-198640;R-CFA-5218851;R-CFA-1306957;R-CFA-5218845;R-CFA-5654729;R-CFA-5654701;R-CFA-5654426;R-CFA-8851899;R-CFA-5218836;R-CFA-1433501;R-CFA-5654697;R-CFA-212706;R-CFA-1295613;R-CFA-8934446;R-CFA-8863804;R-CFA-8867047;R-CFA-1295609;R-CFA-5654562;R-CFA-8867044;R-CFA-190258;R-CFA-1306972;R-CFA-1306963;R-CFA-1254386;R-CFA-1306965;R-CFA-1295599;R-CFA-8867041;R-CFA-177922;R-CFA-190260;R-CFA-5218804;R-CFA-1295632;R-CFA-182969;R-CFA-212710;R-CFA-199959;R-CFA-1295622;R-CFA-212713;R-CFA-5654147;R-CFA-5654607;R-CFA-5654608;R-CFA-190413;R-CFA-5654605;R-CFA-110011;R-CFA-5654600;R-CFA-190408;R-CFA-5654603;R-CFA-380782;R-CFA-177924;R-CFA-177925;R-CFA-182986;R-CFA-8941623;R-CFA-8864029;R-CFA-5654618;R-CFA-177923;R-CFA-5654157;R-CFA-5654620;R-CFA-8941628;R-CFA-5654159;R-CFA-5654622;R-CFA-186834;R-CFA-5654612;R-CFA-1250195;R-CFA-170986;R-CFA-5654614;R-CFA-8941613;R-CFA-5654615;R-CFA-8941618,6.33915125055428e-12
5279,R-RNO-1474244,Extracellular matrix organization,4,265,0.0255569485967788,0.999999999985918,0.999999999985918,10,220,0.027851626788201,10116,Rattus norvegicus,ITGA1;SDC1;ITGA7;A2M,,R-RNO-1454781;R-RNO-2484965;R-RNO-2684507;R-RNO-2731141;R-RNO-2731074;R-RNO-2681667;R-RNO-216058;R-RNO-2731122;R-RNO-4084912;R-RNO-2327695,6.11571657655068e-12
5280,R-SSC-196849,Metabolism of water-soluble vitamins and cofactors,3,236,0.0236047209441888,0.999999999985981,0.999999999985981,3,117,0.0156062424969987,9823,Sus scrofa,SLC23A2;FLAD1;ACACA,,R-SSC-196929;R-SSC-2993814;R-SSC-198870,6.08837789287351e-12
5281,R-DRE-9675108,Nervous system development,4,261,0.0255731922398589,0.9999999999861956,0.9999999999861956,6,123,0.0167438061530084,7955,Danio rerio,HSP90AB1;ITSN1;KRAS;MAPK13,,R-DRE-3928595;R-DRE-419644;R-DRE-392054;R-DRE-419645;R-DRE-451366;R-DRE-3928601,5.995175643229838e-12
5282,R-SSC-211945,Phase I - Functionalization of compounds,5,274,0.0274054810962192,0.9999999999863106,0.9999999999863106,7,93,0.0124049619847939,9823,Sus scrofa,HSP90AB1;CYP19A1;CES3;PAOX,,R-SSC-8937169;R-SSC-8936849;R-SSC-141348;R-SSC-8937442;R-SSC-141351;R-SSC-193060;R-SSC-8937191,5.945223480461691e-12
5283,R-XTR-68882,Mitotic Anaphase,1,161,0.018970189701897,0.999999999987058,0.999999999987058,3,17,0.0027746042108699,8364,Xenopus tropicalis,PPP2R1A,,R-XTR-2995388;R-XTR-2467811;R-XTR-9667965,5.620630855215533e-12
5284,R-BTA-211945,Phase I - Functionalization of compounds,5,287,0.0274930548903151,0.9999999999876764,0.9999999999876764,11,94,0.0118582061309448,9913,Bos taurus,HSP90AB1;CYP19A1;CES3;CYP3A5;PAOX,,R-BTA-8937169;R-BTA-8936849;R-BTA-193060;R-BTA-211948;R-BTA-141348;R-BTA-211882;R-BTA-213175;R-BTA-8937191;R-BTA-8937442;R-BTA-211959;R-BTA-141351,5.352065655777049e-12
5285,R-SSC-1474244,Extracellular matrix organization,5,275,0.02750550110022,0.9999999999878594,0.9999999999878594,32,215,0.0286781379218354,9823,Sus scrofa,ITGA1;SDC1;COL6A3;ITGA7;A2M,,R-SSC-8948224;R-SSC-2731074;R-SSC-8948228;R-SSC-8948219;R-SSC-8948222;R-SSC-216058;R-SSC-2466106;R-SSC-1454781;R-SSC-2089971;R-SSC-1981104;R-SSC-2327909;R-SSC-1980233;R-SSC-1981128;R-SSC-1981120;R-SSC-8944247;R-SSC-2681667;R-SSC-1564112;R-SSC-1650808;R-SSC-2684507;R-SSC-1981157;R-SSC-2327695;R-SSC-2731141;R-SSC-2484965;R-SSC-1614461;R-SSC-2731122;R-SSC-1614460;R-SSC-4084903;R-SSC-8948234;R-SSC-8948231;R-SSC-2002460;R-SSC-8948232;R-SSC-2213207,5.272605072532087e-12
5286,R-BTA-425407,SLC-mediated transmembrane transport,12,402,0.0385094357697097,0.9999999999882176,0.9999999999882176,14,182,0.0229595054875741,9913,Bos taurus,SLC8A3;SLC13A3;SLC45A3;SLC9A6;SLCO1B3;SLCO1A2;SLC17A7;SLC5A1;SLC16A2;SLC38A3;SLC12A7;SLC4A5,,R-BTA-879575;R-BTA-8875902;R-BTA-9631987;R-BTA-194083;R-BTA-425483;R-BTA-425983;R-BTA-426155;R-BTA-429613;R-BTA-194079;R-BTA-428052;R-BTA-433101;R-BTA-352174;R-BTA-425661;R-BTA-194130,5.117010835801853e-12
5287,R-SPO-75953,RNA Polymerase II Transcription Initiation,1,43,0.0190434012400354,0.9999999999882624,0.9999999999998972,3,3,0.0020352781546811,4896,Schizosaccharomyces pombe,TAF2,,R-SPO-75864;R-SPO-75861;R-SPO-75866,5.0975796373505755e-12
5288,R-SPO-9609507,Protein localization,1,43,0.0190434012400354,0.9999999999882624,0.9999999999998972,6,9,0.0061058344640434,4896,Schizosaccharomyces pombe,PEX14,,R-SPO-9033485;R-SPO-9033236;R-SPO-9603775;R-SPO-9033235;R-SPO-9603784;R-SPO-9603804,5.0975796373505755e-12
5289,R-CFA-1474244,Extracellular matrix organization,4,250,0.0257228109887848,0.9999999999885107,0.9999999999885107,22,210,0.028343906060197,9615,Canis familiaris,ITGA1;SDC1;COL6A3;ITGA7,,R-CFA-8948232;R-CFA-8948234;R-CFA-2731122;R-CFA-2731141;R-CFA-1981157;R-CFA-1981128;R-CFA-8948222;R-CFA-1980233;R-CFA-2731074;R-CFA-8948224;R-CFA-8948228;R-CFA-2484965;R-CFA-8948231;R-CFA-1981120;R-CFA-1981104;R-CFA-1650808;R-CFA-4084912;R-CFA-8948219;R-CFA-2002460;R-CFA-2681667;R-CFA-216058;R-CFA-2327695,4.989719610215337e-12
5290,R-HSA-5688426,Deubiquitination,1,289,0.0190859859992075,0.9999999999889108,0.9999999999889108,1,77,0.0055268446741314,9606,Homo sapiens,ESR1,,R-HSA-6783238,4.815996017113802e-12
5291,R-XTR-2555396,Mitotic Metaphase and Anaphase,1,162,0.0190880169671261,0.9999999999889408,0.9999999999889408,3,18,0.002937816223274,8364,Xenopus tropicalis,PPP2R1A,,R-XTR-2995388;R-XTR-2467811;R-XTR-9667965,4.80292937994186e-12
5292,R-GGA-211945,Phase I - Functionalization of compounds,4,226,0.0257579211306131,0.9999999999889956,0.9999999999889956,12,74,0.0108935669071102,9031,Gallus gallus,HSP90AB1;CYP19A1;CYP3A5;PAOX,,R-GGA-211948;R-GGA-141351;R-GGA-193060;R-GGA-213175;R-GGA-9680865;R-GGA-8937169;R-GGA-211882;R-GGA-211959;R-GGA-8937191;R-GGA-8936849;R-GGA-9678766;R-GGA-141348,4.779158707891059e-12
5293,R-BTA-3247509,Chromatin modifying enzymes,2,226,0.0216495832934189,0.9999999999891894,0.9999999999891894,5,78,0.0098397880661031,9913,Bos taurus,KDM3A;SMARCA2,,R-BTA-5205861;R-BTA-4724284;R-BTA-5661115;R-BTA-3215448;R-BTA-5205799,4.694972920060039e-12
5294,R-BTA-4839726,Chromatin organization,2,226,0.0216495832934189,0.9999999999891894,0.9999999999891894,5,78,0.0098397880661031,9913,Bos taurus,KDM3A;SMARCA2,,R-BTA-5205861;R-BTA-4724284;R-BTA-5661115;R-BTA-3215448;R-BTA-5205799,4.694972920060039e-12
5295,R-XTR-156580,Phase II - Conjugation of compounds,2,184,0.021680216802168,0.9999999999896092,0.9999999999896092,13,54,0.008813448669822,8364,Xenopus tropicalis,SULT1E1;MAT1A,,R-XTR-176521;R-XTR-176631;R-XTR-176517;R-XTR-174391;R-XTR-158468;R-XTR-176669;R-XTR-158860;R-XTR-159358;R-XTR-176474;R-XTR-158849;R-XTR-176664;R-XTR-176585;R-XTR-176646,4.512666812506207e-12
5296,R-GGA-1630316,Glycosaminoglycan metabolism,1,168,0.0191474811944381,0.9999999999897844,0.9999999999897844,17,79,0.0116296187251582,9031,Gallus gallus,SDC1,,R-GGA-1878002;R-GGA-2024084;R-GGA-1889955;R-GGA-2076419;R-GGA-2022856;R-GGA-1678694;R-GGA-2076508;R-GGA-2076611;R-GGA-2022851;R-GGA-2022887;R-GGA-1889981;R-GGA-2022860;R-GGA-2076383;R-GGA-1667005;R-GGA-2024108;R-GGA-2076392;R-GGA-2022919,4.436581375394369e-12
5297,R-CFA-983705,Signaling by the B Cell Receptor (BCR),2,211,0.0217100524745344,0.999999999990002,0.999999999990002,2,30,0.004049129437171,9615,Canis familiaris,ITPR1;KRAS,,R-CFA-1168376;R-CFA-1168636,4.342077283671192e-12
5298,R-DDI-9609507,Protein localization,2,79,0.021763085399449,0.9999999999906644,0.9999999999906644,11,18,0.0078328981723237,44689,Dictyostelium discoideum,UBE2J2;PEX14,,R-DDI-9609921;R-DDI-9033527;R-DDI-9033236;R-DDI-9603784;R-DDI-8953946;R-DDI-9603804;R-DDI-9033235;R-DDI-9033485;R-DDI-9603775;R-DDI-8953917;R-DDI-9033514,4.0544184003955655e-12
5299,R-GGA-1474244,Extracellular matrix organization,2,191,0.0217688625484385,0.999999999990734,0.999999999990734,6,170,0.0250257618136316,9031,Gallus gallus,SDC1;ITGA7,,R-GGA-2731141;R-GGA-2731074;R-GGA-2681667;R-GGA-216058;R-GGA-2731122;R-GGA-2684507,4.024186734318839e-12
5300,R-CFA-69620,Cell Cycle Checkpoints,3,233,0.0239736598415474,0.9999999999911848,0.9999999999911848,7,42,0.0056687812120394,9615,Canis familiaris,YWHAE;MCM8;PPP2R1A,,R-CFA-176318;R-CFA-75016;R-CFA-141409;R-CFA-141439;R-CFA-141422;R-CFA-176298;R-CFA-141431,3.8283800422334234e-12
5301,R-MMU-112315,Transmission across Chemical Synapses,4,280,0.0259595772297422,0.9999999999914096,0.9999999999914096,11,99,0.0120820112277276,10090,Mus musculus,GNB2;GNB3;SLC17A7;GNAI2,,R-MMU-170666;R-MMU-170671;R-MMU-500717;R-MMU-210444;R-MMU-170674;R-MMU-1013020;R-MMU-170686;R-MMU-210430;R-MMU-210426;R-MMU-1013012;R-MMU-1013013,3.730741886244054e-12
5302,R-HSA-446203,Asparagine N-linked glycosylation,5,421,0.0278034605732399,0.9999999999915132,0.9999999999915132,15,144,0.0103359173126615,9606,Homo sapiens,SERPINA1;PMM1;MGAT5;ST8SIA5;FUT3,,R-HSA-975916;R-HSA-5694418;R-HSA-203973;R-HSA-5694417;R-HSA-5694527;R-HSA-5694428;R-HSA-204008;R-HSA-5694522;R-HSA-4084978;R-HSA-5694439;R-HSA-5693925;R-HSA-5694446;R-HSA-446201;R-HSA-5694441;R-HSA-5694409,3.685756009928959e-12
5303,R-XTR-1630316,Glycosaminoglycan metabolism,1,164,0.0193236714975845,0.9999999999919252,0.9999999999919252,17,72,0.0117512648930961,8364,Xenopus tropicalis,SDC1,,R-XTR-1878002;R-XTR-2076611;R-XTR-1889981;R-XTR-1889955;R-XTR-2076392;R-XTR-2024108;R-XTR-2022860;R-XTR-2022887;R-XTR-1667005;R-XTR-1889978;R-XTR-1678694;R-XTR-9638064;R-XTR-2024084;R-XTR-2076419;R-XTR-2022856;R-XTR-2022851;R-XTR-2022919,3.5068250485085145e-12
5304,R-SCE-73776,RNA Polymerase II Promoter Escape,1,45,0.0193298969072164,0.999999999991992,0.9999999999999544,5,7,0.0047457627118644,4932,Saccharomyces cerevisiae,TAF2,,R-SCE-75850;R-SCE-75873;R-SCE-9613497;R-SCE-75869;R-SCE-9613494,3.4778470081383555e-12
5305,R-GGA-68877,Mitotic Prometaphase,1,170,0.0193754273991338,0.9999999999924644,0.9999999999924644,2,16,0.0023553658177535,9031,Gallus gallus,YWHAE,,R-GGA-380316;R-GGA-380508,3.272686339627549e-12
5306,R-MMU-948021,Transport to the Golgi and subsequent modification,1,209,0.0193769701464861,0.9999999999924796,0.9999999999924796,1,57,0.0069563094947522,10090,Mus musculus,MGAT5,,R-MMU-975916,3.2660806964816092e-12
5307,R-SSC-425407,SLC-mediated transmembrane transport,13,404,0.0404080816163232,0.9999999999929234,0.9999999999929234,16,182,0.0242763772175536,9823,Sus scrofa,SLC13A3;SLC45A3;SLC5A1;SLC7A2;SLC4A5;SLC8A3;SLC9A6;SLCO1B3;SLCO1A2;SLC17A7;SLC16A2;SLC38A3;SLC12A7,,R-SSC-9631987;R-SSC-879575;R-SSC-428052;R-SSC-429613;R-SSC-375768;R-SSC-194083;R-SSC-433101;R-SSC-425483;R-SSC-425661;R-SSC-352174;R-SSC-194079;R-SSC-425983;R-SSC-426155;R-SSC-8875902;R-SSC-194130;R-SSC-375790,3.0733116359162004e-12
5308,R-GGA-195258,RHO GTPase Effectors,3,212,0.0241622976977433,0.999999999993048,0.999999999993048,5,55,0.0080965699985278,9031,Gallus gallus,YWHAE;ROCK2;SRF,,R-GGA-419049;R-GGA-75016;R-GGA-5666008;R-GGA-9680443;R-GGA-5665998,3.0192128650421813e-12
5309,R-SSC-68877,Mitotic Prometaphase,1,195,0.019503900780156,0.999999999993652,0.999999999993652,8,18,0.0024009603841536,9823,Sus scrofa,PPP2R1A,,R-SSC-1638803;R-SSC-9648114;R-SSC-375302;R-SSC-2468287;R-SSC-2484822;R-SSC-380508;R-SSC-1638821;R-SSC-380316,2.756915794137943e-12
5310,R-CFA-1428517,The citric acid (TCA) cycle and respiratory electron transport,3,236,0.0242823335734129,0.9999999999940234,0.9999999999940234,4,58,0.0078283169118639,9615,Canis familiaris,FH;NDUFA4;SUCLG2,,R-CFA-70982;R-CFA-451033;R-CFA-71775;R-CFA-163214,2.595583808982584e-12
5311,R-GGA-3700989,Transcriptional Regulation by TP53,2,194,0.0221107818554821,0.9999999999940454,0.9999999999940454,3,57,0.008390990725747,9031,Gallus gallus,YWHAE;NDUFA4,,R-GGA-163214;R-GGA-5632732;R-GGA-5632738,2.5860369670636496e-12
5312,R-GGA-156580,Phase II - Conjugation of compounds,3,214,0.024390243902439,0.9999999999947832,0.9999999999947832,13,63,0.0092742529074046,9031,Gallus gallus,SULT1B1;SULT1E1;MAT1A,,R-GGA-159358;R-GGA-176517;R-GGA-176631;R-GGA-176521;R-GGA-176646;R-GGA-176664;R-GGA-158849;R-GGA-176585;R-GGA-158468;R-GGA-158860;R-GGA-176669;R-GGA-176474;R-GGA-174391,2.26563916629953e-12
5313,R-CFA-1266738,Developmental Biology,11,368,0.0378639777754913,0.9999999999950668,0.9999999999950668,17,173,0.0233499797543528,9615,Canis familiaris,NCSTN;HSP90AB1;PLXND1;ROCK2;RARA;GRB10;PPARG;MYO9B;KRAS;KALRN;MAPK13,,R-CFA-3928617;R-CFA-381262;R-CFA-9617067;R-CFA-3928612;R-CFA-392054;R-CFA-3928656;R-CFA-9680443;R-CFA-419644;R-CFA-8853753;R-CFA-419645;R-CFA-419049;R-CFA-416690;R-CFA-9732629;R-CFA-8985594;R-CFA-3928576;R-CFA-451366;R-CFA-416683,2.1424463324467225e-12
5314,R-RNO-195721,Signaling by WNT,4,275,0.0265213617513742,0.9999999999956964,0.9999999999956964,15,109,0.0137992150905177,10116,Rattus norvegicus,PPP2R1A;GNB2;GNB3;KRAS,,R-RNO-4332359;R-RNO-195251;R-RNO-195300;R-RNO-195280;R-RNO-195287;R-RNO-195318;R-RNO-195304;R-RNO-3965444;R-RNO-2130282;R-RNO-201685;R-RNO-2130279;R-RNO-5229343;R-RNO-195275;R-RNO-2130286;R-RNO-195283,1.869011279304275e-12
5315,R-SPO-73776,RNA Polymerase II Promoter Escape,1,45,0.0199291408325952,0.9999999999964022,0.9999999999998972,5,7,0.0047489823609226,4896,Schizosaccharomyces pombe,TAF2,,R-SPO-75850;R-SPO-75873;R-SPO-9613494;R-SPO-9613497;R-SPO-75869,1.562499794059102e-12
5316,R-SSC-112315,Transmission across Chemical Synapses,4,267,0.0267053410682136,0.9999999999965692,0.9999999999965692,11,94,0.0125383486728024,9823,Sus scrofa,GNB2;GNB3;SLC17A7;GNAI2,,R-SSC-210444;R-SSC-170671;R-SSC-500717;R-SSC-210426;R-SSC-1013020;R-SSC-1013012;R-SSC-170686;R-SSC-1013013;R-SSC-170666;R-SSC-210430;R-SSC-170674,1.4899823685740398e-12
5317,R-RNO-112315,Transmission across Chemical Synapses,4,277,0.0267142443822933,0.9999999999966068,0.9999999999966068,9,97,0.012280035447525,10116,Rattus norvegicus,GNB2;GNB3;SLC17A7;GNAI2,,R-RNO-170671;R-RNO-170666;R-RNO-210430;R-RNO-210426;R-RNO-170674;R-RNO-170686;R-RNO-210444;R-RNO-1013020;R-RNO-1013012,1.473637018015906e-12
5318,R-SCE-76042,RNA Polymerase II Transcription Initiation And Promoter Clearance,1,47,0.0201890034364261,0.9999999999974574,0.9999999999999544,9,11,0.007457627118644,4932,Saccharomyces cerevisiae,TAF2,,R-SCE-75866;R-SCE-75864;R-SCE-75850;R-SCE-75873;R-SCE-9613497;R-SCE-75869;R-SCE-75861;R-SCE-75949;R-SCE-9613494,1.104251381951573e-12
5319,R-MMU-425407,SLC-mediated transmembrane transport,10,399,0.0369923975523827,0.9999999999975088,0.9999999999975088,10,184,0.02245545521113,10090,Mus musculus,SLC8A3;SLC13A3;SLC45A3;SLC9A6;SLC17A7;SLC5A1;SLC16A2;SLC38A3;SLC12A7;SLC4A5,,R-MMU-352174;R-MMU-433101;R-MMU-425483;R-MMU-8875902;R-MMU-425661;R-MMU-426155;R-MMU-429613;R-MMU-425983;R-MMU-879575;R-MMU-428052,1.0819272011008082e-12
5320,R-XTR-112315,Transmission across Chemical Synapses,4,229,0.0269824437374808,0.9999999999975626,0.9999999999975626,9,74,0.0120776889179043,8364,Xenopus tropicalis,GNB3;SLC17A7;GNAI2,,R-XTR-1013013;R-XTR-170666;R-XTR-1013012;R-XTR-500717;R-XTR-170674;R-XTR-170686;R-XTR-210444;R-XTR-1013020;R-XTR-170671,1.0585422600368334e-12
5321,R-MMU-9012999,RHO GTPase cycle,12,432,0.0400519191544594,0.9999999999977645,0.9999999999977645,25,88,0.0107395655357578,10090,Mus musculus,BCR;SPEN;ANLN;ARHGAP8;HSP90AB1;PLXND1;ROCK2;ITSN1;PTK2B;MYO9B;ARHGAP26;KALRN,,R-MMU-9696266;R-MMU-9014433;R-MMU-8980691;R-MMU-9018766;R-MMU-9013024;R-MMU-9693282;R-MMU-9017488;R-MMU-9014296;R-MMU-9014295;R-MMU-9013437;R-MMU-9018747;R-MMU-9018785;R-MMU-9013144;R-MMU-9013159;R-MMU-9018745;R-MMU-9018806;R-MMU-9013022;R-MMU-9018758;R-MMU-9018778;R-MMU-9013143;R-MMU-9013161;R-MMU-9013111;R-MMU-9013110;R-MMU-9013009;R-MMU-8981637,9.708848933269347e-13
5322,R-MMU-8957322,Metabolism of steroids,3,272,0.0252178750231781,0.9999999999981644,0.9999999999981644,8,168,0.0205028069319013,10090,Mus musculus,STARD3;HSD17B4;CYP19A1,,R-MMU-9707353;R-MMU-193455;R-MMU-192331;R-MMU-193060;R-MMU-193535;R-MMU-193143;R-MMU-196126;R-MMU-193508,7.972095166003341e-13
5323,R-CFA-195258,RHO GTPase Effectors,4,265,0.0272661796481119,0.999999999998283,0.999999999998283,7,79,0.0106627075178836,9615,Canis familiaris,YWHAE;ROCK2;PPP2R1A;SRF,,R-CFA-9680443;R-CFA-75016;R-CFA-5665998;R-CFA-419049;R-CFA-5666160;R-CFA-5666129;R-CFA-5666008,7.456662135129694e-13
5324,R-BTA-201681,TCF dependent signaling in response to WNT,1,214,0.0205000478973081,0.999999999998322,0.999999999998322,1,55,0.0069383120978932,9913,Bos taurus,PPP2R1A,,R-BTA-201685,7.287422664749305e-13
5325,R-GGA-72203,Processing of Capped Intron-Containing Pre-mRNA,1,180,0.0205151584226122,0.9999999999983556,0.9999999999983556,10,20,0.0029442072721919,9031,Gallus gallus,NUP210,,R-GGA-159046;R-GGA-75098;R-GGA-111439;R-GGA-159050;R-GGA-77587;R-GGA-158441;R-GGA-158481;R-GGA-158447;R-GGA-158484;R-GGA-75097,7.141327053566239e-13
5326,R-SSC-69620,Cell Cycle Checkpoints,3,253,0.0253050610122024,0.999999999998356,0.999999999998356,13,45,0.0060024009603841,9823,Sus scrofa,MCM8;PPP2R1A;CHEK2,,R-SSC-141422;R-SSC-69608;R-SSC-176318;R-SSC-176298;R-SSC-69891;R-SSC-5683774;R-SSC-141409;R-SSC-5683792;R-SSC-5683735;R-SSC-141431;R-SSC-69685;R-SSC-141439;R-SSC-75809,7.139880562366407e-13
5327,R-BTA-1266738,Developmental Biology,11,407,0.0389884088514225,0.9999999999985628,0.9999999999985628,18,170,0.0214456919389428,9913,Bos taurus,NCSTN;HSP90AB1;PLXND1;ROCK2;ITSN1;RARA;GRB10;PPARG;MYO9B;KRAS;MAPK13,,R-BTA-3928576;R-BTA-419645;R-BTA-8985594;R-BTA-8853753;R-BTA-416690;R-BTA-3928595;R-BTA-8985591;R-BTA-392054;R-BTA-3928656;R-BTA-419644;R-BTA-416683;R-BTA-419049;R-BTA-9732629;R-BTA-381262;R-BTA-9680443;R-BTA-3928601;R-BTA-451366;R-BTA-9617067,6.241609527270636e-13
5328,R-GGA-948021,Transport to the Golgi and subsequent modification,1,181,0.0206291315249601,0.999999999998588,0.999999999998588,1,43,0.0063300456352127,9031,Gallus gallus,MGAT5,,R-GGA-975916,6.132158359816682e-13
5329,R-RNO-1266738,Developmental Biology,13,435,0.0419519722249011,0.9999999999986392,0.9999999999986392,20,184,0.0232940878592226,10116,Rattus norvegicus,HSP90AB1;PLXND1;ROCK2;ITSN1;MYO9B;KALRN;EGFR;MAPK13;NCSTN;RARA;GRB10;KRAS;PPARG,,R-RNO-3928576;R-RNO-8985594;R-RNO-419645;R-RNO-419049;R-RNO-445069;R-RNO-451366;R-RNO-8853753;R-RNO-3928612;R-RNO-9680443;R-RNO-3928656;R-RNO-9732629;R-RNO-3928595;R-RNO-416683;R-RNO-3928617;R-RNO-419644;R-RNO-392054;R-RNO-381262;R-RNO-416690;R-RNO-3928601;R-RNO-9617067,5.909880878775841e-13
5330,R-CFA-195721,Signaling by WNT,4,267,0.0274719621360222,0.9999999999986688,0.9999999999986688,16,104,0.0140369820488594,9615,Canis familiaris,PPP2R1A;GNB2;GNB3;KRAS,,R-CFA-195283;R-CFA-398193;R-CFA-5229343;R-CFA-195318;R-CFA-4332359;R-CFA-3965444;R-CFA-195300;R-CFA-3965447;R-CFA-2130282;R-CFA-2130286;R-CFA-195304;R-CFA-195275;R-CFA-398040;R-CFA-195287;R-CFA-2130279;R-CFA-195280,5.781143161990804e-13
5331,R-CFA-1483206,Glycerophospholipid biosynthesis,1,201,0.020681140034983,0.9999999999986828,0.9999999999986828,1,102,0.0137670400863814,9615,Canis familiaris,PEMT,,R-CFA-1483174,5.720390531597866e-13
5332,R-RNO-195258,RHO GTPase Effectors,4,285,0.0274857749059697,0.9999999999986912,0.9999999999986912,7,84,0.0106342575009494,10116,Rattus norvegicus,YWHAE;ROCK2;PPP2R1A;SRF,,R-RNO-5665998;R-RNO-75016;R-RNO-419049;R-RNO-5666169;R-RNO-5666008;R-RNO-5666160;R-RNO-9680443,5.684228251602071e-13
